wm,dw,pv_bess,ev,critical
0.0,0.0,0,0.0,0.0
0.0,0.0,0,0.0,0.0
0.0,0.0,0,0.0,0.0
0.0,0.0,0,0.0,0.0
0.0,0.0,0,0.0,0.0
0.0,0.0,0,0.0,0.0
0.0,0.0,0,0.0,0.302
0.0,0.0,0,0.0,0.061
0.0,0.0,0,0.0,0.047
0.0,0.0,0,0.0,0.04
0.0,0.0,0,0.0,0.034
0.0,0.0,0,0.0,0.045
0.0,0.0,0,0.0,0.084
0.0,0.0,0,0.0,0.166
0.0,0.0,0,0.0,0.109
0.0,0.0,0,0.0,0.092
0.0,0.0,0,0.0,0.085
0.0,0.0,0,0.0,0.08
0.0,0.0,0,0.0,0.129
0.0,0.0,0,0.0,0.145
0.0,0.0,0,0.0,0.19
0.0,0.0,0,0.0,0.18
0.0,0.0,0,0.0,0.155
0.0,0.0,0,0.0,0.225
0.0,0.0,0,0.27399999999999997,0.47600000000000003
0.0,0.0,0,0.325,0.425
0.0,0.0,0,-1.0,0.114
0.0,0.0,0,-1.0,0.185
0.0,0.0,0,0.275,0.475
0.0,0.0,0,0.385,0.365
0.0,0.0,0,-1.0,0.27
0.0,0.0,0,-1.0,0.48
0.0,0.0,0,-1.0,0.205
0.0,0.0,0,-1.0,0.175
0.0,0.0,0,0.0,0.151
0.0,0.0,0,0.616,0.134
0.0,0.0,0,-1.0,0.17600000000000002
0.0,0.0,0,0.0,0.17
0.0,0.0,0,0.58,0.17
0.0,0.0,0,0.565,0.185
0.0,0.0,0,-1.0,0.225
0.0,0.0,0,0.0,0.235
0.0,0.0,0,0.55,0.2
0.0,0.0,0,0.48100000000000004,0.26899999999999996
0.0,0.0,0,0.0,0.19
0.0,0.049,0,0.466,0.235
0.0,0.294,0,0.22100000000000009,0.235
0.0,0.228,0,0.352,0.17
0.0,0.154,0,0.525,0.071
0.0,0.353,0,0.35800000000000004,0.039
0.0,0.0,0,0.709,0.040999999999999995
0.0,0.0,0,0.0,0.049
0.0,0.0,0,0.7,0.05
0.0,0.0,0,0.709,0.040999999999999995
0.0,0.0,0,0.711,0.039
0.0,0.0,0,0.711,0.039
0.0,0.0,0,0.699,0.051
0.0,0.0,0,0.6890000000000001,0.061
0.0,0.0,0,0.0,0.06
0.0,0.0,0,-1.0,0.049
0.0,0.0,0,0.709,0.040999999999999995
0.0,0.0,0,0.711,0.039
0.0,0.0,0,0.0,0.046
0.0,0.0,0,-1.0,0.044000000000000004
0.0,0.0,0,0.694,0.055999999999999994
0.0,0.0,0,0.716,0.034
0.0,0.0,0,0.0,0.040999999999999995
0.0,0.0,0,-1.0,0.039
0.0,0.0,0,0.709,0.040999999999999995
0.0,0.0,0,0.0,0.049
0.0,0.0,0,0.0,0.051
0.0,0.0,0,0.0,0.039
0.0,0.0,0,-0.8960124999999576,0.040999999999999995
0.0,0.0,0,0.0,0.039
0.0,0.0,0,0.709,0.040999999999999995
0.0,0.0,0,0.575,0.175
0.0,0.0,0,0.0,0.174
0.0,0.0,0,0.655,0.095
0.0,0.0,0,0.665,0.085
0.0,0.0,0,0.6,0.15
0.0,0.0,0,-1.0,0.581
0.0,0.0,0,0.245,0.505
0.0,0.0,0,0.647,0.10300000000000001
0.0,0.0,0,0.71,0.04
0.0,0.0,0,0.0,0.04
0.051000000000000004,0.0,0,0.695,0.004
0.47700000000000004,0.0,0,0.27299999999999996,0.0
0.359,0.0,0,0.391,0.0
0.02500000000000006,0.0,0,0.0,0.0
0.02500000000000006,0.0,0,0.0,0.0
0.026000000000000002,0.0,0,0.0,0.0
0.024,0.0,0,0.0,0.0
0.026000000000000002,0.0,0,0.0,0.0
0.022,0.0,0,0.0,0.14800000000000002
0.023,0.0,0,0.0,0.31
0.040999999999999995,0.0,0,0.0,0.0
0.0,0.0,0,0.0,0.0
0.0,0.0,0,0.0,0.0
0.0,0.0,0,0.0,0.0
0.0,0.0,0,0.0,0.139
0.0,0.0,0,0.0,0.381
0.0,0.0,0,0.0,0.152
0.0,0.0,0,0.0,0.0
0.0,0.0,0,0.0,0.19399999999999998
0.0,0.0,0,0.0,0.52
0.25,0.0,0,0.0,0.311
0.358,0.0,0,0.0,0.141
0.023,0.0,0,0.0,0.08800000000000001
0.024,0.0,0,0.0,0.08199999999999999
0.024,0.0,0,0.0,0.1
0.024,0.0,0,0.0,0.084
0.024,0.0,0,0.0,0.125
0.026000000000000002,0.0,0,0.0,0.131
0.021,0.0,0,0.0,0.12
0.024,0.0,0,0.0,0.191
0.212,0.0,0,0.0,0.22399999999999998
0.405,0.0,0,0.0,0.235
0.243,0.0,0,0.0,0.315
0.0,0.0,0,0.0,0.335
0.0,0.0,0,0.0,0.561
0.0,0.0,0,0.29100000000000004,0.45899999999999996
0.0,0.0,0,0.45899999999999996,0.29100000000000004
0.0,0.0,0,-1.0,0.255
0.0,0.0,0,-1.0,0.25
0.0,0.0,0,0.441,0.309
0.0,0.0,0,0.46,0.29
0.0,0.0,0,-1.0,0.29
0.0,0.0,0,-1.0,0.29
0.0,0.0,0,-1.0,0.321
0.0,0.0,0,-1.0,0.539
0.0,0.0,0,0.0,0.475
0.0,0.0,0,0.3200000000000001,0.43
0.0,0.0,0,-1.0,0.505
0.0,0.0,0,0.0,0.24
0.0,0.0,0,0.51,0.24
0.0,0.0,0,0.5,0.25
0.0,0.0,0,-1.0,0.25
0.0,0.0,0,0.0,0.226
0.0,0.0,0,0.561,0.18899999999999997
0.0,0.0,0,0.589,0.161
0.0,0.0,0,0.0,0.165
0.0,0.06,0,0.516,0.174
0.0,0.279,0,0.30599999999999994,0.165
0.0,0.233,0,0.33699999999999997,0.18
0.0,0.194,0,0.351,0.205
0.0,0.293,0,0.266,0.191
0.0,0.0,0,0.58,0.17
0.0,0.0,0,0.0,0.184
0.0,0.0,0,0.565,0.185
0.0,0.0,0,0.575,0.175
0.0,0.0,0,0.573,0.177
0.0,0.0,0,0.592,0.158
0.0,0.0,0,0.581,0.16899999999999998
0.0,0.0,0,0.599,0.151
0.0,0.0,0,0.0,0.14
0.0,0.0,0,-1.0,0.141
0.0,0.0,0,0.616,0.134
0.0,0.0,0,0.634,0.11599999999999999
0.0,0.0,0,0.0,0.11900000000000001
0.0,0.0,0,-1.0,0.126
0.0,0.0,0,0.626,0.124
0.0,0.0,0,0.63,0.12
0.0,0.0,0,0.0,0.07
0.0,0.0,0,-1.0,0.055
0.0,0.0,0,0.699,0.051
0.0,0.0,0,0.0,0.064
0.0,0.0,0,0.0,0.065
0.0,0.0,0,0.0,0.07400000000000001
0.0,0.0,0,-0.4321274999999755,0.052000000000000005
0.0,0.0,0,0.0,0.054000000000000006
0.0,0.0,0,0.7,0.05
0.0,0.0,0,0.545,0.205
0.0,0.0,0,0.0,0.185
0.0,0.0,0,0.54,0.21
0.0,0.0,0,0.575,0.175
0.0,0.0,0,0.646,0.10400000000000001
0.0,0.0,0,-1.0,0.107
0.0,0.0,0,0.641,0.109
0.0,0.0,0,0.66,0.09
0.0,0.0,0,0.665,0.085
0.0,0.0,0,0.0,0.08800000000000001
0.0,0.0,0,0.673,0.077
0.0,0.0,0,0.694,0.055999999999999994
0.0,0.0,0,0.575,0.175
0.0,0.0,0,0.0,0.063
0.0,0.0,0,0.0,0.055999999999999994
0.0,0.0,0,0.0,0.036000000000000004
0.0,0.0,0,0.0,0.049
0.0,0.0,0,0.0,0.028999999999999998
0.0,0.0,0,0.0,0.051
0.0,0.0,0,0.0,0.057999999999999996
0.0,0.0,0,0.0,0.111
0.0,0.0,0,0.0,0.064
0.0,0.0,0,0.0,0.051
0.0,0.0,0,0.0,0.055999999999999994
0.0,0.0,0,0.0,0.073
0.0,0.0,0,0.0,0.191
0.0,0.0,0,0.0,0.065
0.0,0.0,0,0.0,0.049
0.0,0.0,0,0.0,0.057
0.0,0.0,0,0.0,0.053
0.0,0.0,0,0.0,0.06
0.0,0.0,0,0.0,0.122
0.0,0.0,0,0.0,0.055999999999999994
0.0,0.0,0,0.0,0.07400000000000001
0.0,0.0,0,0.0,0.064
0.0,0.0,0,0.0,0.046
0.0,0.0,0,0.0,0.051
0.0,0.0,0,0.0,0.049
0.0,0.0,0,0.0,0.040999999999999995
0.0,0.0,0,0.0,0.044000000000000004
0.0,0.0,0,0.0,0.04
0.0,0.0,0,0.0,0.042
0.0,0.0,0,0.0,0.09300000000000001
0.0,0.0,0,0.0,0.1
0.0,0.0,0,0.0,0.095
0.0,0.0,0,0.649,0.10099999999999999
0.0,0.0,0,0.5660000000000001,0.184
0.0,0.0,0,-1.0,0.69
0.0,0.0,0,-1.0,0.455
0.0,0.0,0,0.499,0.251
0.0,0.0,0,0.59,0.16
0.0,0.0,0,-1.0,0.22399999999999998
0.0,0.0,0,-1.0,0.235
0.0,0.0,0,-1.0,0.26
0.0,0.0,0,-1.0,0.23
0.0,0.0,0,0.0,0.226
0.0,0.0,0,0.461,0.289
0.0,0.0,0,-1.0,0.23
0.0,0.0,0,-1.0,0.24100000000000002
0.0,0.0,0,0.461,0.289
0.0,0.0,0,0.463,0.287
0.0,0.0,0,-1.0,0.313
0.0,0.0,0,0.0,0.26
0.0,0.0,0,0.545,0.205
0.0,0.0,0,0.55,0.2
0.0,0.0,0,0.0,0.261
0.0,0.0,0,0.526,0.22399999999999998
0.0,0.0,0,0.554,0.196
0.0,0.0,0,0.561,0.18899999999999997
0.0,0.0,0,0.56,0.19
0.0,0.0,0,0.624,0.126
0.0,0.0,0,0.646,0.10400000000000001
0.0,0.0,0,0.0,0.12
0.0,0.0,0,0.649,0.10099999999999999
0.0,0.0,0,0.645,0.105
0.0,0.0,0,0.646,0.10400000000000001
0.0,0.0,0,0.645,0.105
0.0,0.0,0,0.634,0.11599999999999999
0.0,0.0,0,0.641,0.109
0.0,0.0,0,-0.227199999999986,0.1
0.0,0.0,0,-1.0,0.1
0.0,0.0,0,0.641,0.109
0.0,0.0,0,0.639,0.111
0.0,0.0,0,0.0,0.12
0.0,0.0,0,-1.0,0.115
0.0,0.0,0,0.645,0.105
0.0,0.0,0,0.65,0.1
0.0,0.0,0,0.0,0.106
0.0,0.0,0,-1.0,0.109
0.0,0.0,0,0.6890000000000001,0.061
0.0,0.0,0,0.0,0.054000000000000006
0.0,0.0,0,0.0,0.05
0.0,0.0,0,0.0,0.05
0.0,0.0,0,-1.0,0.055
0.0,0.0,0,0.0,0.055999999999999994
0.0,0.0,0,0.6799999999999999,0.07
0.0,0.0,0,0.405,0.345
0.0,0.0,0,0.0,0.254
0.0,0.0,0,0.56,0.19
0.0,0.0,0,0.634,0.11599999999999999
0.0,0.0,0,0.601,0.149
0.0,0.0,0,-1.0,0.11599999999999999
0.0,0.0,0,0.627,0.12300000000000001
0.0,0.0,0,0.629,0.121
0.0,0.0,0,0.636,0.114
0.0,0.0,0,0.0,0.115
0.0,0.0,0,0.629,0.121
0.0,0.0,0,0.604,0.146
0.0,0.0,0,0.696,0.054000000000000006
0.0,0.0,0,0.0,0.033
0.0,0.0,0,0.0,0.04
0.0,0.0,0,0.0,0.06
0.0,0.0,0,0.0,0.045
0.0,0.0,0,0.0,0.04
0.0,0.0,0,0.0,0.040999999999999995
0.0,0.0,0,0.0,0.05
0.0,0.0,0,0.0,0.055999999999999994
0.0,0.0,0,0.0,0.096
0.0,0.0,0,0.0,0.084
0.0,0.0,0,0.0,0.073
0.0,0.0,0,0.0,0.061
0.0,0.0,0,0.0,0.324
