,wm,dw,pv_bess,ev,critical
0,0.0,0.0,0,0.0,0.0
1,0.0,0.0,0,0.0,0.0
2,0.0,0.0,0,0.0,0.0
3,0.0,0.0,0,0.0,0.0
4,0.0,0.0,0,0.0,0.0
5,0.0,0.0,0,0.0,0.0
6,0.0,0.0,0,0.0,0.302
7,0.0,0.0,0,0.0,0.061
8,0.0,0.0,0,0.0,0.047
9,0.0,0.0,0,0.0,0.04
10,0.0,0.0,0,0.0,0.034
11,0.0,0.0,0,0.0,0.045
12,0.0,0.0,0,0.0,0.084
13,0.0,0.0,0,0.0,0.166
14,0.0,0.0,0,0.0,0.109
15,0.0,0.0,0,0.0,0.092
16,0.0,0.0,0,0.0,0.085
17,0.0,0.0,0,0.0,0.08
18,0.0,0.0,0,0.0,0.129
19,0.0,0.0,0,0.0,0.145
20,0.0,0.0,0,0.0,0.19
21,0.0,0.0,0,0.0,0.18
22,0.0,0.0,0,0.0,0.155
23,0.0,0.0,0,0.0,0.225
24,0.0,0.0,0,0.27399999999999997,0.47600000000000003
25,0.0,0.0,0,0.325,0.425
26,0.0,0.0,0,0.0,0.114
27,0.0,0.0,0,0.0,0.185
28,0.0,0.0,0,0.275,0.475
29,0.0,0.0,0,0.0,0.365
30,0.0,0.0,0,0.0,0.27
31,0.0,0.0,0,0.0,0.48
32,0.0,0.0,0,0.0,0.205
33,0.0,0.0,0,0.0,0.175
34,0.0,0.0,0,0.0,0.151
35,0.0,0.0,0,0.0,0.134
36,0.0,0.0,0,0.0,0.17600000000000002
37,0.0,0.0,0,0.0,0.17
38,0.0,0.0,0,0.0,0.17
39,0.0,0.0,0,0.565,0.185
40,0.0,0.0,0,0.0,0.225
41,0.0,0.0,0,0.0,0.235
42,0.0,0.0,0,0.0,0.2
43,0.0,0.0,0,0.0,0.26899999999999996
44,0.0,0.0,0,0.0,0.19
45,0.0,0.049,0,0.0,0.235
46,0.0,0.294,0,0.0,0.235
47,0.0,0.228,0,0.0,0.17
48,0.0,0.154,0,0.0,0.071
49,0.0,0.353,0,0.0,0.039
50,0.0,0.0,0,0.0,0.040999999999999995
51,0.0,0.0,0,0.0,0.049
52,0.0,0.0,0,0.0,0.05
53,0.0,0.0,0,0.0,0.040999999999999995
54,0.0,0.0,0,0.0,0.039
55,0.0,0.0,0,0.0,0.039
56,0.0,0.0,0,0.699,0.051
57,0.0,0.0,0,0.0,0.061
58,0.0,0.0,0,0.0,0.06
59,0.0,0.0,0,0.0,0.049
60,0.0,0.0,0,0.709,0.040999999999999995
61,0.0,0.0,0,0.0,0.039
62,0.0,0.0,0,0.0,0.046
63,0.0,0.0,0,0.0,0.044000000000000004
64,0.0,0.0,0,0.0,0.055999999999999994
65,0.0,0.0,0,0.0,0.034
66,0.0,0.0,0,0.0,0.040999999999999995
67,0.0,0.0,0,0.0,0.039
68,0.0,0.0,0,0.0,0.040999999999999995
69,0.0,0.0,0,0.0,0.049
70,0.0,0.0,0,0.0,0.051
