wm,dw,pv_bess,ev,critical
0.0,0.0,0.12899999999999934,0.0,0.0
0.0,0.0,0.13099999999999934,0.0,0.0
0.0,0.0,0.8909999999999998,0.0,0.0
0.0,0.0,0.888,0.0,0.0
0.0,0.0,0.15099999999999825,0.0,0.0
0.0,0.0,0.15999999999999903,0.0,0.0
0.0,0.0,0.5780000000000001,0.0,0.302
0.0,0.0,0.828,0.0,0.061
0.0,0.0,0.854,0.0,0.047
0.0,0.0,0.83,0.0,0.04
0.0,0.0,0.806,0.0,0.034
0.0,0.0,0.774,0.0,0.045
0.0,0.0,0.7409999999999999,0.0,0.084
0.0,0.0,0.645,0.0,0.166
0.0,0.0,0.6799999999999999,0.0,0.109
0.0,0.0,0.6890000000000001,0.0,0.092
0.0,0.0,0.675,0.0,0.085
0.0,0.0,0.67,0.0,0.08
0.0,0.0,0.621,0.0,0.129
0.0,0.0,0.605,0.0,0.145
0.0,0.0,0.56,0.0,0.19
0.0,0.0,0.5700000000000001,0.0,0.18
0.0,0.0,-0.15500000000000025,0.0,0.155
0.0,0.0,-0.2250000000000003,0.0,0.225
0.0,0.0,0.0,0.2740000000000001,0.47600000000000003
0.0,0.0,0.0,0.325,0.425
0.0,0.0,-0.11399999999999999,0.0,0.114
0.0,0.0,-0.18500000000000005,0.0,0.185
0.0,0.0,-0.31230052631580496,0.0,0.475
0.0,0.0,-1.0,0.635,0.365
0.0,0.049,-0.31899999999999995,0.0,0.27
0.0,0.294,-0.774,0.0,0.48
0.0,0.228,-0.4330000000000003,0.0,0.205
0.0,0.154,-0.32899999999999996,0.0,0.175
0.0,0.353,-0.504,0.0,0.151
0.0,0.0,-0.134,0.0,0.134
0.0,0.0,-0.17600000000000005,0.0,0.17600000000000002
0.0,0.0,-0.17000000000000004,0.0,0.17
0.0,0.0,-0.17000000000000004,0.0,0.17
0.0,0.0,-0.18500000000000005,0.0,0.185
0.0,0.0,-0.22499999999999998,0.0,0.225
0.0,0.0,-1.0,0.765,0.235
0.0,0.0,-0.2,0.0,0.2
0.0,0.0,-0.2689999999999999,0.0,0.26899999999999996
0.0,0.0,-0.18999999999999995,0.0,0.19
0.0,0.0,-0.235,0.0,0.235
0.0,0.0,-0.235,0.0,0.235
0.0,0.0,-0.17000000000000004,0.0,0.17
0.0,0.0,-0.07099999999999995,0.0,0.071
0.0,0.0,-0.039000000000000035,0.0,0.039
0.0,0.0,-0.041000000000000036,0.0,0.040999999999999995
0.0,0.0,-0.049000000000000044,0.0,0.049
0.0,0.0,-0.05,0.0,0.05
0.0,0.0,-0.041000000000000036,0.0,0.040999999999999995
0.0,0.0,-0.039000000000000035,0.0,0.039
0.0,0.0,-0.03900000000000026,0.0,0.039
0.0,0.0,0.0,0.699,0.051
0.0,0.0,-0.06099999999999994,0.0,0.061
0.0,0.0,-0.06000000000000061,0.0,0.06
0.0,0.0,-0.049000000000000044,0.0,0.049
0.0,0.0,-0.041000000000000036,0.0,0.040999999999999995
0.0,0.0,-0.039000000000000035,0.0,0.039
0.0,0.0,-0.046000000000000374,0.0,0.046
0.0,0.0,-0.04400000000000015,0.0,0.044000000000000004
0.0,0.0,-0.05600000000000005,0.0,0.055999999999999994
0.0,0.0,-0.03400000000000014,0.0,0.034
0.0,0.0,-0.04100000000000026,0.0,0.040999999999999995
0.0,0.0,-0.039000000000000035,0.0,0.039
0.0,0.0,-0.04100000000000026,0.0,0.040999999999999995
0.0,0.0,-0.049000000000000266,0.0,0.049
0.0,0.0,-0.051000000000000045,0.0,0.051
0.0,0.0,-0.039000000000000035,0.0,0.039
0.0,0.0,-0.040999999999999814,0.0,0.040999999999999995
0.0,0.0,-0.039000000000000035,0.0,0.039
0.0,0.0,-0.04100000000000026,0.0,0.040999999999999995
0.0,0.0,-0.17500000000000004,0.0,0.175
0.0,0.0,-0.17399999999999993,0.0,0.174
0.0,0.0,-0.09499999999999997,0.0,0.095
0.0,0.0,-0.08499999999999996,0.0,0.085
0.0,0.0,-0.15,0.0,0.15
0.0,0.0,-1.0,0.41900000000000004,0.581
0.0,0.0,-0.495,0.0,0.505
0.0,0.0,0.0,0.656,0.10300000000000001
0.0,0.0,0.0,0.72,0.04
0.0,0.0,-0.009000000000000008,0.0,0.04
0.051,0.0,-0.025000000000000022,0.0,0.004
0.47700000000000004,0.0,-0.6809999999999999,1.0,0.0
0.359,0.0,-0.3837894736841946,0.8227894736841946,0.0
0.025,0.0,0.04599999999999999,0.0,0.0
0.025,0.0,0.055,0.0,0.0
0.026000000000000002,0.0,0.064,0.0,0.0
0.024,0.0,0.056,0.0,0.0
0.026000000000000002,0.0,0.07300000000000001,0.0,0.0
0.022000000000000002,0.0,-0.05800000000000004,0.0,0.14800000000000002
0.023,0.0,-0.204,0.0,0.31
0.040999999999999995,0.0,0.8390000000000001,0.0,0.0
0.0,0.0,0.12899999999999956,0.0,0.0
0.0,0.0,0.131,0.0,0.0
0.0,0.0,0.8909999999999999,0.0,0.0
0.0,0.0,0.75,0.0,0.139
0.0,0.0,-0.23099999999999993,0.0,0.381
0.0,0.0,0.758,0.0,0.152
0.0,0.0,0.88,0.0,0.0
0.0,0.0,0.6960000000000001,0.0,0.19399999999999998
0.25,0.0,0.13000000000000006,0.0,0.52
0.358,0.0,0.19600000000000006,0.0,0.311
0.023,0.0,0.6470000000000001,0.0,0.141
0.024,0.0,0.737,0.0,0.08800000000000001
0.024,0.0,0.724,0.0,0.08199999999999999
0.024,0.0,0.697,0.0,0.1
0.024,0.0,0.6859999999999999,0.0,0.084
0.026000000000000002,0.0,0.618,0.0,0.125
0.021,0.0,0.62,0.0,0.131
0.024,0.0,0.606,0.0,0.12
0.212,0.0,0.347,0.0,0.191
0.405,0.0,0.121,0.0,0.22399999999999998
0.243,0.0,0.27199999999999996,0.0,0.235
0.0,0.0,0.435,0.0,0.315
0.0,0.0,0.3794155124653773,0.0,0.335
0.0,0.0,-0.561,0.0,0.561
0.0,0.0,0.0,0.29100000000000004,0.45899999999999996
0.0,0.0,0.0,0.4589999999999999,0.29100000000000004
0.0,0.0,-0.255,0.0,0.255
0.0,0.0,-0.25,0.0,0.25
0.0,0.0,0.0,0.441,0.309
0.0,0.0,-0.29,0.0,0.29
0.0,0.0,-0.29,0.0,0.29
0.0,0.0,-0.29,0.0,0.29
0.0,0.0,-0.321,0.0,0.321
0.0,0.0,-0.539,0.0,0.539
0.0,0.0,-0.475,0.0,0.475
0.0,0.0,-0.43,0.0,0.43
0.0,0.0,-0.505,0.0,0.505
0.0,0.0,-0.24,0.0,0.24
0.0,0.0,-0.24,0.0,0.24
0.0,0.0,0.0,0.5,0.25
0.0,0.0,-0.25,0.0,0.25
0.0,0.0,-0.226,0.0,0.226
0.0,0.0,-0.18899999999999997,0.0,0.18899999999999997
0.0,0.0,0.0,0.0,0.161
0.0,0.0,-0.165,0.0,0.165
0.0,0.0,-0.174,0.0,0.174
0.0,0.0,-0.165,0.0,0.165
0.0,0.0,-0.18,0.0,0.18
0.0,0.0,-0.205,0.0,0.205
0.0,0.0,0.0,0.0,0.191
0.0,0.0,-0.17,0.0,0.17
0.0,0.0,-0.184,0.0,0.184
0.0,0.0,-0.185,0.0,0.185
0.0,0.0,-0.175,0.0,0.175
0.0,0.0,-0.177,0.0,0.177
